player,team,position,age,games,points,rebounds,assists,steals,blocks,turnovers,minutes,fg_pct
Luka Dončić,DAL,SF,25,70,33.9,9.2,9.8,1.3,0.8,3.2,37.1,0.485
LeBron James,LAL,SF,39,55,25.7,8.0,8.3,1.1,0.7,2.8,35.2,0.522
Nikola Jokić,DEN,C,29,76,24.5,11.8,9.0,1.0,0.9,2.5,34.7,0.643
Stephen Curry,GSW,PG,36,56,26.4,5.3,6.9,1.2,0.4,2.1,33.1,0.509
Joel Embiid,PHI,C,30,39,34.1,10.2,3.5,1.2,1.7,2.9,34.1,0.538
Kevin Durant,PHX,SF,36,75,29.1,6.7,5.0,0.9,1.1,2.4,34.3,0.571
Jayson Tatum,BOS,SF,26,74,26.9,8.8,4.6,1.0,0.8,2.7,34.8,0.476
Giannis Antetokounmpo,MIL,PF,29,60,30.4,11.5,5.9,1.1,0.8,2.8,34.2,0.589
Damian Lillard,MIL,PG,34,55,24.3,4.8,7.0,1.3,0.3,2.3,33.5,0.437
Anthony Davis,LAL,PF,31,76,25.9,12.5,2.6,0.8,1.3,2.2,34.1,0.563
Shai Gilgeous-Alexander,OKC,SG,26,79,30.1,4.8,6.2,1.8,0.8,2.4,35.1,0.521
Donovan Mitchell,CLE,SG,28,79,26.3,4.3,5.1,1.5,0.4,2.6,34.6,0.454
Kawhi Leonard,LAC,SF,33,68,23.8,5.9,3.9,1.9,0.6,2.1,32.8,0.502
Devin Booker,PHX,SG,28,58,27.1,4.5,6.9,1.2,0.3,2.5,34.9,0.488
James Harden,LAC,SG,35,55,23.4,5.1,8.9,1.7,0.5,2.8,33.2,0.442
Tyrese Haliburton,IND,PG,24,68,20.1,3.7,10.9,1.3,0.2,2.0,32.4,0.477
Domantas Sabonis,SAC,C,29,74,20.1,13.4,6.0,0.9,0.6,2.3,32.9,0.559
Anfernee Simons,POR,SG,24,72,22.3,3.9,5.1,1.1,0.3,2.2,32.1,0.428
Mikal Bridges,BRK,SF,27,77,20.1,5.7,3.4,1.4,0.5,1.9,31.7,0.508
Paolo Banchero,ORL,PF,21,67,23.1,8.8,3.7,0.9,0.7,2.4,32.3,0.466
Franz Wagner,ORL,SF,22,74,20.2,6.5,3.5,0.8,0.4,1.8,30.9,0.5
Scottie Barnes,TOR,SF,23,74,19.9,8.3,6.0,1.0,0.5,2.1,31.4,0.49
Victor Wembanyama,SAS,C,20,71,21.4,10.6,3.4,1.2,2.3,2.0,31.8,0.474
Ja Morant,MEM,PG,25,57,25.5,5.8,7.2,1.5,0.6,2.7,33.7,0.463
Trae Young,ATL,PG,26,79,26.2,3.1,10.2,1.2,0.2,3.1,34.2,0.435
LaMelo Ball,CHA,PG,23,60,23.3,5.6,8.4,1.4,0.4,2.8,32.5,0.44
Jamal Murray,DEN,PG,27,76,20.0,3.8,7.1,1.1,0.3,1.9,30.6,0.475
Karl-Anthony Towns,MIN,C,29,75,21.8,8.3,2.4,0.8,0.5,2.0,31.2,0.504
Anthony Edwards,MIN,SG,23,79,25.9,5.4,5.0,1.3,0.5,2.2,32.8,0.467
Player_001,MIN,PG,19,50,9.9,1.4,7.9,1.0,0.3,3.1,25.2,0.473
Player_002,CHI,PF,27,50,8.6,2.0,0.3,1.5,0.1,2.0,27.8,0.466
Player_003,MIL,PF,34,63,11.3,12.0,1.6,1.0,0.1,2.4,25.6,0.417
Player_004,MEM,SF,19,61,18.6,12.4,3.2,0.1,0.6,2.3,22.3,0.478
Player_005,LAC,SF,35,51,7.4,5.0,7.9,0.9,0.4,1.8,26.6,0.415
Player_006,MEM,C,31,81,12.2,5.2,0.3,0.9,0.1,2.3,42.7,0.425
Player_007,PHX,PG,19,39,13.6,3.2,9.9,1.8,0.9,3.8,36.4,0.42
Player_008,CLE,PF,25,35,11.4,7.3,2.3,0.4,0.5,1.8,22.9,0.543
Player_009,LAC,SG,23,31,20.0,3.5,4.8,0.8,0.2,2.3,31.9,0.443
Player_010,CHI,PG,37,72,18.7,1.2,7.2,1.7,0.4,3.0,23.0,0.453
Player_011,PHX,SF,29,51,20.7,7.4,3.9,1.2,1.2,2.9,17.3,0.448
Player_012,ATL,C,25,52,11.2,11.3,1.7,1.2,1.0,2.0,34.1,0.535
Player_013,LAL,PF,24,63,9.5,4.3,4.9,1.0,0.6,0.5,35.0,0.484
Player_014,CLE,PF,29,52,11.9,9.7,1.1,1.1,1.0,2.4,34.3,0.538
Player_015,DEN,PF,19,59,14.2,13.1,4.3,1.3,0.1,0.5,25.2,0.445
Player_016,ATL,PF,23,33,13.9,8.4,0.7,0.7,0.7,3.2,27.0,0.417
Player_017,PHI,SF,22,38,8.6,5.2,2.9,1.4,0.8,2.1,32.5,0.483
Player_018,MIN,PG,30,78,16.5,3.6,4.9,0.5,0.5,2.8,30.3,0.452
Player_019,ATL,C,31,53,13.1,11.5,2.9,1.1,0.9,1.3,25.6,0.52
Player_020,CLE,SF,27,38,26.6,1.7,5.9,1.1,0.3,0.8,18.3,0.532
Player_021,LAL,SF,21,49,23.4,6.4,2.8,0.8,1.0,2.2,28.7,0.471
Player_022,LAC,SG,26,47,10.7,3.0,3.6,1.0,1.0,2.0,34.5,0.546
